zone_index,x,y,z,period_count,current_period_index,next_period_index,rail_period_index,open_lanes,period_open_lanes,period_light_flags
59,3194.26708984375,-0.10999999940395355,1929.0723876953125,2,0,1,0,403;404;405,0:|1:403;404;405,"0:2,2|1:4,4"
105,3924.7294921875,-0.10999999940395355,1992.972900390625,2,0,1,0,699;700;701,0:|1:699;700;701,"0:2,2|1:4,4"
111,3592.15966796875,-0.10999999940395355,1458.46728515625,2,0,1,0,749;750;751,0:|1:749;750;751,"0:2,2|1:4,4"
142,1914.541748046875,-0.10999999940395355,2234.98876953125,5,0,1,0,891;892;893;894;895;896;897;898;899;900;901;902;903;904,0:895;898;896;900;899|1:897;896;901;899|2:902;904;892;894;891|3:903;904;893;891|4:,"0:20,0,20|1:24,0,24|2:0,20,0,20|3:0,24,0,24|4:2,2,2,2"
162,1912.708740234375,-0.10999999940395355,2383.8203125,2,0,1,0,1035;1036;1037,0:|1:1035;1036;1037,"0:2,2|1:4,4"
163,2585.99365234375,-0.10999999940395355,2322.2685546875,2,0,1,0,1039;1040;1041,0:|1:1039;1040;1041,"0:2,2|1:4,4"
204,3218.5146484375,-0.10999999940395355,2097.18505859375,2,0,1,0,1265;1266;1267,0:|1:1265;1266;1267,"0:2,2|1:4,4"
205,1173.810791015625,-0.10999999940395355,1790.318115234375,6,0,1,0,1269;1270;1271;1272;1273;1274;1275;1276;1277;1278;1279;1280;1281,0:1270;1276|1:1270;1271;1273;1276;1277;1281|2:1269;1271;1272;1273;1277;1278;1281|3:1275;1280|4:1271;1273;1275;1277;1280;1281|5:1271;1273;1274;1277;1279;1281,"0:2,16,2,8|1:4,16,16,24|2:4,20,16,24|3:8,0,16,2|4:12,16,16,16|5:12,16,24,16"
210,3137.72021484375,-0.10999999940395355,897.9396362304688,4,0,1,0,1303;1304;1305;1306;1307;1308;1309;1310,0:1306;1307;1308;1309|1:1304;1306;1307;1309;1310|2:1303;1304;1305;1306;1307;1309|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
241,2684.685546875,-0.10999999940395355,1096.57275390625,4,0,1,0,1481;1482;1483;1484;1485;1486;1487;1488,0:1481;1482;1483;1487|1:1481;1482;1485;1487;1488|2:1481;1482;1484;1485;1486;1487|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
