lane_id,start_x,start_y,start_z,end_x,end_y,end_z,length,zone_index,speed_limit,next_lanes,left_lane,right_lane,width,tag_names,avg_next_speed,non_alley_next,non_alley_last,flags,merging_lanes,splitting_lanes,last_lanes
0,667.323242,-0.110000,1418.330200,621.962158,-0.110000,1374.676880,70.019913,0,9.722222,9612,-1,-1,5.0003,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,2049,7,1,7116
1,667.323242,-0.110000,1418.330200,644.057251,-0.110000,1435.027100,35.939800,0,9.722222,7298,-1,-1,5.0003,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,12289,3,0,7116;7455
2,650.906677,-0.110000,1376.468506,670.192505,-0.110000,1407.193115,43.611862,0,9.722222,7114,-1,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,12289,,3,9610
3,650.906738,-0.110000,1376.468384,644.057251,-0.110000,1435.027100,59.006657,0,9.722222,7298,4,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,1,1,2,9610
4,644.918213,-0.110000,1376.097778,638.135803,-0.110000,1434.059570,58.405857,0,9.722222,7299,-1,3,6.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,1,,,9611
5,609.515381,-0.110000,1429.383057,615.973633,-0.110000,1374.306274,55.502190,0,9.722222,9613,7,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,8193,,,7301
6,615.436890,-0.110000,1430.350586,668.944946,-0.110000,1412.035400,66.194969,0,9.722222,7115,-1,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,2049,,7,7300
7,615.436890,-0.110000,1430.350586,621.962158,-0.110000,1374.677002,56.102837,0,9.722222,9612,-1,5,6.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,1,0,6,7300
8,668.757812,-0.110000,1412.761719,633.440186,-0.110000,1375.387329,58.380047,0,9.722222,36;2637,-1,-1,25.5010,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,2177,,9,
9,668.757812,-0.110000,1412.761719,626.786011,-0.110000,1432.205078,53.652138,0,9.722222,7303,-1,-1,25.5010,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,12417,10,8,
