index,x,y,z,forward_x,forward_z,urban_diversity_config_id,lane
0,2164.7471,0.0000,2499.3247,-0.003173,-0.999995,88888120,40575
1,2167.1599,0.0000,2479.2000,0.999933,-0.011556,88888120,41992
2,2060.8403,-0.0167,2486.8601,0.999138,0.041521,88888121,39687
3,1979.4946,-0.0297,2486.8423,-0.999989,-0.004708,88888121,41764
4,1930.1913,-0.0265,2430.8354,-0.005802,-0.999983,88888121,35867
5,1896.4464,0.0000,2396.9827,0.038242,0.999269,88888120,37355
6,1838.5402,-0.1100,2403.3000,-0.002013,0.999998,88888120,19414
7,1838.5610,-0.1100,2483.6592,0.002014,-0.999998,88888120,35278
8,1798.4399,-0.1100,2478.5498,0.007525,-0.999972,88888090,31286
9,1745.1801,0.0000,2406.2600,0.999995,0.003176,88888090,39277
10,1795.7860,0.0000,2483.0359,-1.000000,-0.000978,88888090,29731
11,1888.6147,0.0000,2509.5806,-0.999995,-0.003020,88888090,19133
12,1855.5991,0.0100,2546.4722,-0.880519,0.474010,88888090,35634
13,1871.0649,0.1250,2629.7981,0.006326,-0.999980,88888090,33360
14,1823.1497,0.0000,2635.9565,0.543575,-0.839361,88888090,38684
15,1892.3081,0.0000,2682.2424,-1.000000,0.000702,88888090,32084
16,1775.9725,0.0000,2591.4580,-0.999408,-0.034407,88888090,28417
17,1826.8842,0.0000,2592.6086,-0.997980,0.063523,88888090,32477
18,1745.1400,0.0019,2641.7600,-0.999642,-0.026744,88888090,32243
19,1704.9640,-0.0872,2667.7542,0.536142,0.844128,88888090,42953
20,1672.0498,0.0000,2724.0576,-0.992853,-0.119346,88888090,31722
21,1882.1960,0.0000,2747.9104,-0.993809,-0.111102,88888090,16945
22,1896.7394,0.0004,2689.1777,0.999950,0.009976,88888090,37335
23,1926.8903,0.0000,2684.3604,0.007026,-0.999975,88888100,37644
24,2060.1726,-0.1100,2704.3140,-0.993478,-0.114026,88888100,27606
25,1978.9167,-0.1100,2699.4338,0.990413,0.138135,88888100,35741
26,2027.9524,-0.1100,2638.0042,-0.999994,0.003570,88888100,23037
27,1986.8038,-0.1100,2600.3035,-0.008451,0.999964,88888100,38778
28,2092.2900,0.0000,2595.8701,-0.999993,-0.003808,88888100,37970
29,2076.5532,-0.1100,2632.4880,-0.841963,0.539535,88888100,30493
30,2068.2830,-0.1100,2710.4797,0.897794,-0.440415,88888100,33475
31,2138.3547,0.0000,2601.6313,0.999991,0.004283,88888100,33193
32,2160.7402,0.0000,2564.1499,-0.708804,-0.705406,88888120,16975
33,2213.8547,-0.1100,2531.8137,0.937987,-0.346671,88888120,29176
34,2219.1042,-0.1100,2531.7322,0.397118,-0.917767,88888120,29180
35,2291.6809,0.0000,2592.2571,-0.004262,-0.999991,88888100,19240
36,2324.4744,0.0000,2574.1611,0.002539,-0.999997,88888100,40511
37,2433.5349,-0.1100,2502.5435,-0.001482,0.999999,88888100,41833
38,2496.0627,0.0216,2504.4377,0.001188,0.999999,88888100,20981
39,2562.8965,1.6030,2555.3240,0.999995,-0.003005,88888100,24466
40,2638.3838,0.0000,2471.3699,-0.999994,0.003543,88888140,33454
41,2682.5378,0.0000,2332.7429,0.083304,0.996524,88888140,18527
42,2687.7698,0.0000,2332.3054,0.083304,0.996524,88888140,18526
43,2729.8525,0.0000,2416.8518,-0.998507,0.054627,88888140,26653
44,2730.1392,0.0000,2422.0940,-0.998507,0.054627,88888140,26652
45,2727.3521,0.0000,2332.5469,0.051669,0.998664,88888140,41075
46,2732.5952,0.0000,2332.2754,0.051661,0.998665,88888140,41074
47,2638.8428,0.0000,2331.2463,0.003651,0.999993,88888140,35023
48,2599.1611,0.0000,2417.2903,0.999854,0.017092,88888140,23355
49,2437.4243,0.0000,2475.6809,0.999603,-0.028186,88888132,31290
50,2571.8757,-0.1100,2416.3486,-0.999999,0.001080,88888130,21599
51,2571.9500,-0.1100,2421.8301,-0.999999,0.001081,88888130,19948
52,2570.4800,-0.1100,2375.9902,-0.999999,-0.001437,88888130,24273
53,2570.4900,-0.1100,2370.3501,-0.999999,-0.001435,88888130,38526
54,2633.5928,0.0000,2331.2654,0.003651,0.999993,88888140,35024
55,2640.4121,0.0000,2427.0642,-0.919751,-0.392503,88888140,34396
56,2740.7908,0.0000,2467.7695,-0.171443,-0.985194,88888140,26763
57,2786.0063,0.0000,2519.1360,-0.040902,-0.999163,88888100,42905
58,2718.7090,0.0012,2566.6968,0.278024,-0.960574,88888100,25221
59,2780.1262,0.0100,2583.9233,0.589308,0.807909,88888100,36707
60,2824.3152,0.0000,2694.5466,-0.013125,-0.999914,88888100,35929
61,2761.1064,0.0384,2608.5752,0.432408,0.901678,88888100,41647
62,2717.1121,0.0034,2616.6882,-0.513538,-0.858067,88888100,21504
63,2604.6960,0.0000,2665.9226,0.997860,-0.065394,88888100,27711
64,2790.9690,0.0012,2648.7217,-0.403889,-0.914808,88888100,40655
65,2570.7888,0.0000,2705.9663,-0.028610,-0.999591,88888100,29494
66,2484.0391,0.0000,2669.1492,0.999915,-0.013040,88888100,21747
67,2436.1741,0.0000,2619.5667,0.471086,-0.882088,88888100,43045
68,2424.6934,0.0000,2673.8560,-0.378764,-0.925493,88888100,17401
69,2325.8450,0.0000,2697.1809,0.967324,-0.253544,88888100,17656
70,2233.0776,0.0000,2763.5405,-0.970177,0.242398,88888100,41429
71,2443.2366,0.0000,2712.2366,-0.993652,0.112494,88888100,18172
72,2412.9065,-2.7670,2779.9431,-0.999944,-0.010629,88888100,26762
73,2598.3474,-2.7567,2771.5298,0.999114,-0.042078,88888100,39464
74,2620.6492,-2.1018,2757.7869,0.576578,-0.817042,88888100,33112
75,2809.3945,-0.0211,2720.3630,-0.026717,0.999643,88888100,26654
76,2861.3582,0.0000,2694.1111,-0.011711,-0.999931,88888100,29950
77,3070.6709,0.0000,2650.7202,-0.999214,0.039637,88888142,40953
78,3115.3462,-0.0058,2599.9951,0.956152,0.292872,88888142,37791
79,3085.5620,-0.6800,2434.8540,-0.034231,-0.999414,88888142,21657
80,3122.4529,-0.0057,2421.6404,0.000967,1.000000,88888142,32116
81,3155.1479,0.0000,2448.5300,-0.020338,-0.999793,88888200,28040
82,3164.8167,0.0383,2309.2930,-0.991206,-0.132330,88888200,38220
83,3153.7727,-0.0166,2312.5237,0.986332,-0.164768,88888200,38222
84,3247.7205,0.0000,2337.6677,0.938964,0.344014,88888200,31161
85,3317.2090,-0.0793,2394.2058,-0.954737,-0.297453,88888200,20427
86,3367.6082,0.0000,2347.5098,-0.323011,0.946395,88888210,19289
87,3388.4048,-0.0006,2254.9756,-0.452679,0.891673,88888210,33443
88,3214.0269,0.0000,2238.7236,0.937878,0.346966,88888210,23137
89,3273.9626,0.0001,2206.7959,-0.246268,-0.969202,88888210,34802
90,3274.4438,0.0037,2185.5969,0.821468,-0.570255,88888210,43618
91,3400.7400,-0.0078,2232.6499,-0.499241,-0.866463,88888210,42346
92,3420.8477,8.3991,2264.3616,-0.350930,0.936402,88888210,40350
93,3384.4417,8.3991,2360.6914,-0.177406,0.984138,88888210,23285
94,3461.9937,0.0006,2164.6108,0.015209,0.999884,88888231,37133
95,3464.6694,0.0000,2184.8562,0.999931,-0.011762,88888210,39727
96,3648.3545,0.0000,2278.4563,-0.296199,0.955126,88888210,37147
97,3646.5007,-0.0351,2153.3152,0.997768,0.066782,88888231,20063
