# vehicle_config_id,display_name
# Master list of vehicle IDs + names for the GM Vehicle panel.
# Populated from community-sourced "vehicle id - sorted (1).txt".
# Read by ClientToGameserver.LoadVehicleDisplayNames() on first GetVehicleDisplayName() call.
81000004,Firetruck
81000005,Erebos BlackBox - Seymour's Truck
81000007,Sunset GT X Coupe [Carbon Roof, LED interior]
81000010,Shikage Speed Tour s200 - Speedboat
81000011,Sunset GT X Coupe [Black Roof, Regular interior]
81000028,Cutscene 60s Coupe
81001001,Sunset Spider - Default Sedan
81001002,Korou RV6 - Subaru Legacy Wagon (5gen)
81001003,Kazama Jialu - Toyota HiAce H300 (6gen)
81001006,Kazama CRN6 - Toyota Comfort
81001007,Kazama Jiame - Toyota Corolla E170 (11gen)
81001008,Sunset Asuka - Honda Fit (2gen)
81001009,Kazama Elegant - Toyota Crown (14-15gen)
81001010,Aico C5 - Audi A6 (C8)
81001011,Sunset NEO:E - 3door Hatchback
81001012,Erebos SC53 - Mercedes GL
81001013,Smove S3 - Mazda 3 BM (3gen)
81001015,Stahlwerk TengDa - VW Jetta A6 (6gen)
81001016,Kazama P300 - Toyota Prius 5
81001017,Pulse Type 3 - Tesla Model 3
81001018,Sunset Tianyue - Sedan, Looks like Audi A5
81001019,Kazama Traveler 3 - Toyota RAV4
81002001,Sunset GT7 - Honda Integra Type R Gen 3
81002002,Nissan GTR R35 Roofless
81002006,Smove SR-5 - Mazda Miata MX-5 ND
81002007,Pico Boxer Cat R - Mini Cooper S Convertible
81002008,Rowden Bulldog - '67 Ford Mustang or smth
81002009,Sunset Selena GT - Toyota 2000GT-ish Sportscar
81003001,Sunset Traveler W7 - 5-door Microvan
81003002,Kazama Kairo - Toyota HiAce Gen 5
81003003,Reiforce Lingtu - Suzuki Carry Gen 7
81003004,Kazama Sandstrom 70 Classic - Toyota Land Cruiser 70 Stock
81003005,Kazama Sandstrom 70 Classic - Toyota Land Cruiser 70 Offroad Spec
81003006,Sunset XD - Microvan
81003007,2017 Toyota Hilux-ish Pickup Truck
81003008,Reiforce Jim - Suzuki Jimmy
81003009,Kazama Express Van - Toyota Quick Delivery-ish Van
81003010,Kazama Sandstrom 70 Enemy Ver., 2 seats - Toyota Land Cruiser 70
81003011,Kazama Sandstrom 70 Enemy Ver., 4 seats - Toyota Land Cruiser 70
81003012,Kazama Wasteland Enemy Ver. - Toyota Land Cruiser 70 Pickup
81003013,Kazama Highland Sandstrom 200 - Toyota Land Cruiser 1958 (2024)
81003015,Shikage Junkrat - Yamaha YFZ450 (Quad)
81003016,Kazama Kanu - Toyota Hilux Gen 5
81003022,Reiforce Lingtu - Suzuki Carry Gen 7
81004001,Kazama CRN6 Comfort - Toyota Comfort Taxi (Undrivable)
81004002,Kazama Elegant NCCA - Toyota Crown (14-15gen) Police
81004003,Dump Truck
81004004,Kazama NT-Comfort - Toyota Sienta JPN Taxi (Undrivable)
81004005,Marine M300 - MAN TGS Cement Mixer Truck
81004006,Marine M300 - MAN TGS Garbage Truck
81004007,Marine M300 - MAN TGS Hauling Truck (No Trailer)
81004008,Marine M300 - MAN TGS Hauling Truck (With immovable trailer)
81004009,Marine M300 (Unmarked) - MAN TGS Hauling Truck (With immovable trailer)
81004010,Marine M300 - MAN TGS Tanker
81004011,Kazama Kairo Ambulance - Toyota HiAce Gen 5 Ambulance
81004012,Marine Forklift
81004013,Korou MT600 - Bus
81004014,Firetruck (Dirty Water)
81004015,Kazama CRN6 Comfort - Toyota Comfort Taxi (Undrivable)
81004016,Kazama Elegant NCCA - Toyota Crown (14-15gen) Police
81004017,Korou Isuzu Elf-like Stripped Truck
81004018,Korou Isuzu Elf-like Flatbed Truck
81004019,Korou Isuzu Elf-like Flatbed Tow Truck
81004020,Korou Isuzu Elf-like Tow Truck with a Hook
81004021,Fusion Rhino S2 [No Livery] - Ramp Buggy
81004022,Korou Isuzu Elf-like Cargo Truck
81004023,Marine M500 Enemy Truck - MAN TGS
81004024,Korou Isuzu Elf-like Livestock Truck
81004025,Korou Isuzu Elf-like Refrigerator Truck
81004026,Kazama Elegant (Unmarked Police) - Toyota Crown (14-15gen)
81004027,Kazama Highland Sandstrom 200 NCCA - Toyota Land Cruiser 1958 (2024) Police
81004028,Shikage Freelancer 800 NCCA - Honda NT1100
81004029,Marine WL 500 - Wheel Loader
81004033,Kazama Traveler 3 Road Patrol - Toyota RAV4
81005002,Sunset GT X Coupe [Carbon Roof, LED Interior]
81005003,Sunset GT X Convertible [Black Hood]
81005004,Kazama Wastelander - Toyota Land Cruiser 70 Pickup
81005005,Erebos E55 L - Genesis+Mercedes Convertible Sedan
81005006,Fusion Rhino S2 - Ramp Buggy
81005007,Veloce Quicksilver - Lamborghini Murcielago
81006001,NCCA Helicopter
81006002,Belkraft Dark Roast 1200 - Honda CB300R
81006003,Shikage Excellent - Scooter
81006005,Shikage Speed Tour s200 - Speedboat
81006006,Shikage Blue Cat Express Delivery Scooter
81006007,Belkraft Metal Knight - Enemy Bike
81006008,Shikage SonicShark - Jet Ski
81006009,Sunset M125-T - Tricycle with cargo flatbed
81006010,Shikage Freelancer 800 - Honda NT1100
81006011,Sunset M125 - Honda CBX1000
81006012,Sunset M125 Bosozoku - Honda CBX1000
81006013,Shikage SL550 - Dirtbike
81007001,Korou RV6 - Subaru Legacy Wagon (5gen)
81007002,Pico Boxer Cat R - Mini Cooper S Convertible
81007003,Sunset GT7 - Honda Integra Type R Gen 3
81007009,Freelander Yeti MK2 - Milk Van With Wardrobe
81007011,Pico Boxer Cat R - Mini Cooper S Convertible
81007012,Firetruck (Water canon doesn't work)
81007018,Sunset GT7 - Honda Integra Type R Gen 3
81007019,Sunset Traveler W7 - 5-door Microvan
81007020,Cutscene 60s Coupe Claws Out
81007021,Sunset Traveler W7 - 5-door Microvan
81007023,Cutscene 60s Coupe Broken
81007024,Reiforce Lingtu - Suzuki Carry Gen 7
81007025,Kazama CRN6 Comfort - Toyota Comfort Taxi (Drivable)
81007027,Sunset GT X Convertible [Carbon Hood]
81007028,Kazama Sandstrom 70 Classic - Toyota Land Cruiser 70 Stock
81007029,Kazama CRN6 Police - Toyota Comfort Police
81007032,Honda Civic 2025 [Looks Unfinished]
81007033,Sunset GT7 - Honda Integra Type R Gen 3 [Broken Camera, Unfinished Interior]
81007035,Marine M300 - MAN TGS Hauling Truck (No Trailer)
81007036,Marine M300 - MAN TGS Hauling Truck (No Trailer)
81007040,Sunset XD - Microvan [Broken Windshield]
81007041,Sunset Traveler W7 - 5-door Microvan [Broken Camera]
81007042,Marine M300 - MAN TGS Hauling Truck (No Trailer)
81007043,Kazama CRN6 Comfort - Toyota Comfort Taxi
81007044,Kazama CRN6 Police - Toyota Comfort Police
81007053,Marine M500 Hauler [Container Opened, from game trailer]
81007054,Sunset GT X Coupe [Black Roof, LED Interior]
81007055,Marine M500 Hauler [Container Closed, from game trailer]
81007060,Reiforce Lingtu - Suzuki Carry Gen 7
81007063,Kazama Express Van (Masked Malice) - Toyota Quick Delivery-ish Van (Undrivable)
81007064,Nissan GTR R35 Roofless
81007066,Sunset GT X Coupe [Black Roof, LED Interior]
81007068,Erebos E55 L [Broken Model]
81007069,Toyota Sprinter AE86 Trueno [Broken Camera]
81007071,Rowden Bulldog - '67 Ford Mustang of smth
81007072,Smove SR-5 - Mazda Miata MX-5 ND
81007073,Kazama Jialu - Toyota HiAce H300 (6gen)
81007074,Kazama CRN6 - Toyota Comfort
81007075,Motus Hercules - Scania G-Series with container trailer
81007076,Sunset XD [Pile of cash in trunk, Undrivable]
81007077,Sunset Asuka (Dirty) - Honda Fit (2gen)
81007078,Kazama Elegant NCCA - Toyota Crown (14-15gen) Police
81007079,Korou Isuzu Elf-like Cargo Truck [Empty load Wrap]
81007082,Pico Boxer Cat R - Mini Cooper S Convertible
81007083,Kazama Jialu - Toyota HiAce H300 (6gen)
81007084,Sunset Asuka - Honda Fit (2gen)
81007085,Erebos E55 L [Broken Model]
